partecipante,prototipo,task,tempo,successo,errori,azioni,tipologia azioni,outcome
partecipante_18,B,task_1,2,SI,0,5,"click, scroll down, scroll down, scroll down, click", Pasta Bolognese
partecipante_18,B,task_2,3,SI,0,3,"back, scroll down, scroll down, scroll up, scroll up, click",Foglie di Vite
partecipante_18,B,task_3,2,SI,1,4,"back, scroll down, scroll down, click, back, scroll down, click",Pad Tai
partecipante_18,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_18,A,task_2,2,SI,0,4,"back, scroll up, scroll up, click filtro, click, click ",Stufato di Uova di Quaglia
partecipante_18,A,task_3,2,SI,0,6,"back, scroll uo, click filtro, click, click",Madeline
partecipante_19,B,task_1,1,SI,0,3,"click, scroll down, scroll down, scroll down, scroll down, click, back, click",Noodles con Maiale e Verdure
partecipante_19,B,task_2,1,SI,0,3,"back, scroll down, click, back, click",Tom Yum
partecipante_19,B,task_3,3,SI,0,5,"back, scroll up, scroll up, scroll up, scroll up,click filtro, click, scroll down, click",Noodles con Maiale e Verdure
partecipante_19,A,task_1,1,SI,0,3,"click, scroll down, scroll up, click filtro, click, click",Rad Na
partecipante_19,A,task_2,2,SI,0,3,"back, click filtro, click, scroll down, click",Foglie di Vite
partecipante_19,A,task_3,1,SI,0,2,"bak, scroll down, scroll up, click filtro, click, click",Spaghetti Funghi e Speck
partecipante_2,B,task_1,1,SI,0,4,"click, scroll down, scroll down, scroll down, scroll down, scroll up, scroll up, click",Spaghetti Pomodorini e Basilico
partecipante_2,B,task_2,1,SI,0,3,"back, scroll down, click",Ramen
partecipante_2,B,task_3,1,SI,0,6,"back, scroll down, scrolldown, scroll down, scroll down, scroll down, click, back, click",Tiramisù
partecipante_2,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click",Zuppa con funghi
partecipante_2,A,task_2,1,SI,1,2,"back, scroll down, scroll down, scroll down, click",Torta di carote
partecipante_2,A,task_3,1,SI,0,4,"back, scroll up, scroll up, back, click, back, scroll up, scroll down, click",Pollo peperoni e riso
partecipante_20,B,task_1,1,NO,1,3,"click, scroll down, scroll down, scroll down, scroll down, click",Pasta Bolognese
partecipante_20,B,task_2,1,SI,0,3,"back, scroll up, scroll up, scroll up, scroll up, click filtro, click, scroll down, click",Bistecca di Manzo
partecipante_20,B,task_3,2,SI,0,8,"back, click filtro, click, scroll down, click",Bocconcini mozzarella
partecipante_20,A,task_1,1,SI,0,3,"click, click filtro, click, scroll down, click",Spaghetti Funghi e Speck
partecipante_20,A,task_2,1,SI,0,2,"click, click filtro, click scroll down, click",Foglie di Vite
partecipante_20,A,task_3,1,SI,0,3,"back, click filtro, click, scroll down, click",Tortellini classici e rossi
partecipante_21,B,task_1,1,SI,0,3,"click, click filtro, click, scroll down, click",Rad Na
partecipante_21,B,task_2,1,SI,0,3,"back, scroll down, click",Stufato di Uova di Quaglia
partecipante_21,B,task_3,1,SI,0,5,"click, click filtro, click, scroll down, click",Pad Tai
partecipante_21,A,task_1,1,SI,0,3,"click, scroll down, click, back, click",Ramen
partecipante_21,A,task_2,1,SI,0,4,"click, scroll down, click filtro, click, click",Bistecca di Manzo
partecipante_21,A,task_3,1,SI,0,3,"back, click filtro, click, scroll down, click",Tiramisù
partecipante_22,B,task_1,1,SI,0,4,"click, click filtro, click, scroll down, click",Noodles con Maiale e Verdure
partecipante_22,B,task_2,1,SI,0,5,"click, click filtro, click, scroll down, click",Bistecca di Manzo
partecipante_22,B,task_3,2,SI,0,3,"back, click filtro, click, scroll down, scroll down, click",Biscotti Arancia e Cioccolato
partecipante_22,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click",Ramen
partecipante_22,A,task_2,1,SI,0,4,"back, scroll down, click, back, click",Bistecca di Manzo
partecipante_22,A,task_3,2,SI,0,5,"back, scroll up, scroll up, scroll up, click filtro, click, scroll down, click",Spaghetti Funghi e Speck
partecipante_23,B,task_1,1,SI,0,4,"click, click filtro, click, click",Pasta Bolognese
partecipante_23,B,task_2,1,SI,0,2,"back, scroll down, scroll down, scroll down, scroll down, click",Bistecca di Manzo
partecipante_23,B,task_3,2,SI,0,3,"back, scroll down, scroll down, scroll down, scroll down, scroll down, click",Tiramisù
partecipante_23,A,task_1,1,SI,0,3,"click, click filtro, click, scroll down, click",Zuppa ai funghi
partecipante_23,A,task_2,1,SI,0,2,"back, scroll down, click",Ramen
partecipante_23,A,task_3,1,SI,0,4,"back, click filtro, click, scroll down, click",Pollo peperoni e riso
partecipante_24,B,task_1,1,SI,0,3,"click, click filtro, click, scroll down, click",Spaghetti Funghi e Speck
partecipante_24,B,task_2,1,SI,0,3,"click, scroll down, scroll down, scroll down, scroll down, scroll down, scroll down, click",Zuppa Piccante con Pollo
partecipante_24,B,task_3,2,SI,0,4,"back, scroll down, scroll down, scroll down, scroll down, scroll down, click",Tiramisù
partecipante_24,A,task_1,1,SI,0,3,"click, click filtro, click, scroll down click",Noodles con Maiale e Verdure
partecipante_24,A,task_2,1,SI,0,4,"back, scroll up, click filtro, click, scroll down, click, back, click",Stufato di Uova di Quaglia
partecipante_24,A,task_3,1,SI,0,11,"back, scroll up, click filtro, click, scroll down, click",Pollo peperoni e riso
partecipante_25,B,task_1,1,SI,0,4,"click, scroll down, scroll down, scroll down, scroll down, click, back, click",Rad Na
partecipante_25,B,task_2,1,SI,0,5,"back, scroll down, scroll down, scroll down, scroll down, click, back, click",Stufato di Uova di Quaglia
partecipante_25,B,task_3,2,SI,0,6,"back, scroll up, scroll up, scroll up, scroll up, scroll up, scroll up, scroll up, click",Pad Tai
partecipante_25,A,task_1,1,SI,0,3,"click, scroll down, scroll down, scroll down, click, back, click",Noodles con Maiale e Verdure
partecipante_25,A,task_2,1,SI,0,3,"back, scroll down,  scroll down, click",Stufato di Uova di Quaglia
partecipante_25,A,task_3,2,SI,0,3,"scroll down, scroll down, scroll down, scroll down, click, back, click",Tiramisù
partecipante_26,B,task_1,1,SI,0,3,"click, scroll down, scroll down, scroll down, scroll down, scroll down, click",Spaghetti Funghi e Speck
partecipante_26,B,task_2,1,SI,1,3,"back, scroll down, scroll down, scroll down, click, back, click",Tom yum
partecipante_26,B,task_3,1,SI,0,6,"back, scroll up, scroll up, scroll up, scroll up, scroll down, click",Tortellini classici e rossi
partecipante_26,A,task_1,1,SI,0,3,"click, scroll down, scroll down click",Noodles con Maiale e Verdure
partecipante_26,A,task_2,1,SI,0,4,"back, scroll down, scroll up, click filtro, click, back, scroll down, click",Foglie di Vite
partecipante_26,A,task_3,1,SI,0,5,"back, scroll down, scroll up, click filtro, click, scroll down, click, back, scroll down, click",Crepes
partecipante_27,B,task_1,1,SI,0,4,"click, scroll down, scroll down, scroll down, scroll down, click, back, scroll down",Spaghetti Funghi e Speck
partecipante_27,B,task_2,1,SI,0,2,"back, scroll down, click, back, scroll down, scroll down, scroll down, scroll down, scroll down, click",Zuppa Piccante con Pollo
partecipante_27,B,task_3,4,SI,0,3,"back, scroll up, scroll up, scroll up, scroll upclick",Tortellini classici e rossi
partecipante_27,A,task_1,1,SI,0,3,"click, scroll down, scroll down, click",Spaghetti Pomodorini e Basilico
partecipante_27,A,task_2,1,SI,0,4,"back, scroll down, click",Pita
partecipante_27,A,task_3,1,SI,0,6,"back, scroll up, scroll up, scroll up, click filtro, click, scroll down, click, back, click",Yogurt melagrano
partecipante_28,B,task_1,1,SI,0,4,"click, scroll down, scroll down, scroll down, scroll down, scroll down, scroll down",Pasta Bolognese
partecipante_28,B,task_2,1,SI,0,4,"back, scroll down, scroll down, scroll down, scroll down, click, back, scroll down, click",Stufato di Uova di Quaglia
